,ASP+BAU,ASP+BAU,ASP+BAU,ASP,ASP,ASP,BAU,BAU,BAU
,R2,RMSE,RRMSE,R2,RMSE,RRMSE,R2,RMSE,RRMSE
Case,,,,,,,,,
Case1,0.5427075137953686,1163.9908959277802,32.77117792293348,0.7458765334661868,959.8436896384557,26.974598811337554,0.5342620647241572,1029.8952825620445,29.0503957163604
Case2,0.5291324537031612,1181.141502938059,33.25403873892995,0.73358001153718,982.7918155293441,27.619512661437405,0.5187154663381934,1046.9434276900818,29.531275054857215
Case3,0.5827851063669326,1111.8148039998352,31.302204241201085,0.7341369468079969,981.7640439647108,27.590629077657088,0.6115790725538988,940.531991956692,26.529713275575258
Case4,0.5802538808633113,1115.1823712163007,31.397015244280514,0.7541572537275757,944.0757187442649,26.53146969194953,0.5975674642155544,957.3457303289586,27.003980670965788
Case5,0.5255573815511111,1185.6169453855132,33.38004103090877,0.7386821771811114,973.335680756081,27.353765806435643,0.4970720918912399,1070.2250944669877,30.187984182724115
Case6,0.5786022890750935,1117.3741935368396,31.45872414552117,0.7430027138738542,965.2557494909834,27.126694558635606,0.5901527709125506,966.1248741243132,27.251615168981385
Case7,0.5578634137103857,1144.5394792623904,32.22353975958985,0.7376212173705179,975.3095683029834,27.40923819767097,0.5636333522291588,996.8918300163635,28.11946286066942
Case8,0.5186692754320568,1194.1925104235827,33.62147880214516,0.7810834144364316,890.8764146972911,25.036403464812047,0.31795927196188634,1246.3138370744757,35.154943193564804
