Group,Class,Case,n,R2_CV,RMSE_CV,RRMSE_CV,R2_Test,RMSE_Test,RRMSE_Test
ASP+BAU,Dry,Case6,13503,0.858292632591256,352.1838978787633,20.234373631094403,0.8675683375027556,338.26295051088846,19.34380593710631
ASP+BAU,Dry,Case7,13503,0.8609589323296234,348.7737582984948,20.038818021628504,0.8690032864935395,336.4253533294712,19.238721643321778
ASP+BAU,Dry,Case8,13503,0.8263700081323442,389.90929135012476,22.403209732616364,0.837551863800028,374.64150002957837,21.424139006690588
ASP+BAU,Wet,Case1,5780,0.7823696322229864,499.0971538133375,11.617187466761015,0.755380615034325,515.5977614873472,11.927338009772633
ASP+BAU,Wet,Case2,5780,0.7874584251673908,493.08655176450384,11.476533667870518,0.7697138791962954,500.2642522056828,11.572627493670277
ASP+BAU,Wet,Case3,5780,0.7862244903061123,494.4438226901263,11.50940532612722,0.7625094322725985,508.0293124099224,11.752256857178429
ASP+BAU,Wet,Case4,5780,0.7862244903061123,494.4438226901263,11.50940532612722,0.7625094322725985,508.0293124099224,11.752256857178429
ASP+BAU,Wet,Case5,5780,0.7874584251673908,493.08655176450384,11.476533667870518,0.7697138791962954,500.2642522056828,11.572627493670277
ASP+BAU,Wet,Case6,5780,0.7830350609056983,498.3177896828207,11.599166987814336,0.7692427912448736,500.7756769920212,11.58445829812458
ASP+BAU,Wet,Case7,5780,0.7830350609056983,498.3177896828207,11.599166987814336,0.7692427912448736,500.7756769920212,11.58445829812458
ASP+BAU,Wet,Case8,5780,0.7231107419061603,562.8863281946592,13.100532226840453,0.7099063424091976,561.4805350572083,12.98874554500885
ASP+BAU,Normal,Case1,19414,0.7650928621400452,582.9871459265885,12.722584877319742,0.7743598046984843,575.3166214989632,12.56016039311017
ASP+BAU,Normal,Case2,19414,0.7612725646676162,587.7269753229396,12.826243361978047,0.7800529953979071,568.0122655154992,12.40069362421751
ASP+BAU,Normal,Case3,19414,0.7687898122371791,578.4067073501499,12.622807986141845,0.7850448202773816,561.5295884271812,12.259165531749282
ASP+BAU,Normal,Case4,19414,0.7678813273425774,579.5409259206734,12.647533039641061,0.7831494962228959,563.9997424468982,12.313093281311765
ASP+BAU,Normal,Case5,19414,0.7644977800757375,583.780574374453,12.740172349520995,0.7785695953331311,569.9244841512858,12.442440675970676
ASP+BAU,Normal,Case6,19414,0.7662261123575151,581.6127380276923,12.69267093726825,0.7849407751087276,561.6654711090837,12.262132086539397
ASP+BAU,Normal,Case7,19414,0.7667167161875978,581.011947245145,12.67971466068864,0.7870434761682903,558.9129373173828,12.202039496443282
ASP+BAU,Normal,Case8,19414,0.7269947313759195,628.5187953307619,13.716474371546886,0.7429941640234421,614.0025581356689,13.404741534966849
