Case,R2,RMSE,RRMSE
Case1,0.7458765334661868,959.8436896384557,26.974598811337554
Case2,0.73358001153718,982.7918155293441,27.619512661437405
Case3,0.7341369468079969,981.7640439647108,27.590629077657088
Case4,0.7541572537275757,944.0757187442649,26.53146969194953
Case5,0.7386821771811114,973.335680756081,27.353765806435643
Case6,0.7430027138738542,965.2557494909834,27.126694558635606
Case7,0.7376212173705179,975.3095683029834,27.40923819767097
Case8,0.7810834144364316,890.8764146972911,25.036403464812047
