Case,R2,RMSE,RRMSE
Case1,0.5427075137953686,1163.9908959277802,32.77117792293348
Case2,0.5291324537031612,1181.141502938059,33.25403873892995
Case3,0.5827851063669326,1111.8148039998352,31.302204241201085
Case4,0.5802538808633113,1115.1823712163007,31.397015244280514
Case5,0.5255573815511111,1185.6169453855132,33.38004103090877
Case6,0.5786022890750935,1117.3741935368396,31.45872414552117
Case7,0.5578634137103857,1144.5394792623904,32.22353975958985
Case8,0.5186692754320568,1194.1925104235827,33.62147880214516
